City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
554,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
555,Pochutla,MX,80.42,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
559,Achi,CO,75.11,overcast clouds,8.5682,-74.554,Hotel Sahar
561,Lubbock,US,77.25,broken clouds,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
562,Urucara,BR,80.55,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
564,Bourail,NC,76.89,overcast clouds,-21.5667,165.4833,Motel Allamanda
568,Kirakira,SB,81.66,broken clouds,-10.4544,161.9205,SanBiz Lodge
570,Sindou,BF,76.51,scattered clouds,10.6667,-5.1667,LERABA HOTEL
573,Narsingdi,BD,77.02,moderate rain,23.9208,90.7181,Abdul Kadir Mollah City College Boys Hostel
580,Arlit,NE,76.53,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
583,Bandarbeyla,SO,77.11,broken clouds,9.4942,50.8122,JABIR HOTEL
585,Buluang,PH,88.61,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
587,Luangwa,ZM,76.86,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
588,Sinnamary,GF,81.0,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
589,Mongo,TD,80.26,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
590,Howard Springs,AU,91.81,overcast clouds,-12.497,131.047,buffalo beach hostel
594,Balaipungut,ID,81.88,overcast clouds,1.05,101.2833,Darmo wira
596,Nishihara,JP,78.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
598,Barra Do Corda,BR,79.93,few clouds,-5.5,-45.25,Belchior Palace Hotel
606,Novo Aripuana,BR,76.82,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
611,Pimenteiras,BR,79.16,broken clouds,-6.2453,-41.4192,Hotel rotativo pimentas
614,Una,IN,75.76,clear sky,20.8167,71.0333,Hotel Harbhole
620,Tutoia,BR,79.43,scattered clouds,-2.7619,-42.2744,Pousada Guará's
623,Bandhi,PK,76.46,clear sky,26.5861,68.3006,"A,M Malik sweet š Bakers"
624,Riohacha,CO,79.47,overcast clouds,11.5444,-72.9072,Hotel Taroa
628,Weligama,LK,78.33,overcast clouds,5.9667,80.4167,Weligama Bay Resort
633,Gao,ML,76.33,clear sky,16.6362,1.637,
635,Mersing,MY,76.91,heavy intensity rain,2.4312,103.8405,Timotel Hotel
636,Gewane,ET,77.45,clear sky,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
641,Dom Pedro,BR,75.76,few clouds,-4.4833,-44.45,Pousada Santa Amália
646,Dapaong,TG,76.37,broken clouds,10.8639,0.205,Hotel Caroli
655,Sorong,ID,84.85,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
660,Dongzhen,CN,83.07,clear sky,22.3797,110.9389,茂名中汇时尚酒店
662,Amahai,ID,85.42,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
