City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
113,Nantucket,US,41.2835,-70.0995,60.91,98,100,14.97,mist
114,Porto Novo,BJ,6.4965,2.6036,78.62,87,100,1.68,light rain
115,Ewa Beach,US,21.3156,-158.0072,84.85,63,40,16.11,scattered clouds
116,Shellbrook,CA,53.2168,-106.4011,33.03,65,100,9.53,overcast clouds
117,Shakhovskaya,RU,56.0283,35.5097,41.45,90,100,9.64,overcast clouds
118,Kurumkan,RU,54.3,110.3,35.53,69,100,2.24,overcast clouds
119,Torbay,CA,47.6666,-52.7314,53.76,92,75,5.01,broken clouds
120,Verkh-Chebula,RU,56.0308,87.6218,31.3,83,100,13.56,overcast clouds
121,Trinidad,BO,-14.8333,-64.9,75.29,88,44,2.33,scattered clouds
122,Yabassi,CM,4.457,9.9682,73.0,100,100,0.36,light rain
123,Wakkanai,JP,45.4094,141.6739,46.38,57,40,12.66,scattered clouds
124,Linhares,BR,-19.3911,-40.0722,70.57,96,100,2.82,light rain
125,Lagoa,PT,39.05,-27.9833,64.36,70,0,18.48,clear sky
126,Cap-Aux-Meules,CA,47.3821,-61.8597,46.45,93,20,1.14,few clouds
127,Le Port,RE,-20.9373,55.2919,71.56,64,0,4.45,clear sky
128,Muromtsevo,RU,56.3724,75.2418,27.77,83,68,12.01,broken clouds
129,Georgetown,MY,5.4112,100.3354,84.88,77,20,5.75,few clouds
130,Saskylakh,RU,71.9167,114.0833,0.07,99,79,4.52,broken clouds
131,Rabat,MA,33.9911,-6.8401,66.27,94,75,3.44,mist
132,Amnat Charoen,TH,15.9167,104.75,74.07,74,25,11.74,scattered clouds
133,Porbandar,IN,21.6422,69.6093,79.56,66,0,6.33,clear sky
134,Sitka,US,57.0531,-135.33,48.09,57,100,9.22,overcast clouds
135,Kahului,US,20.8947,-156.47,87.82,64,20,23.02,few clouds
136,Narasannapeta,IN,18.4167,84.05,72.43,79,100,9.48,overcast clouds
137,Buchanan,LR,5.8808,-10.0467,76.62,88,96,2.42,light rain
138,Kenmare,IE,51.8833,-9.5833,56.07,97,97,4.14,overcast clouds
139,Caravelas,BR,-17.7125,-39.2481,73.04,92,100,5.26,moderate rain
140,Adrar,MR,20.5022,-10.0711,82.78,14,1,11.03,clear sky
141,Zonguldak,TR,41.25,31.8333,48.2,72,2,4.59,clear sky
142,Atar,MR,20.5169,-13.0499,85.01,14,0,5.23,clear sky
143,Dikson,RU,73.5069,80.5464,27.48,84,100,20.94,overcast clouds
144,Rawson,AR,-43.3002,-65.1023,67.68,21,65,11.5,broken clouds
145,Lebu,CL,-37.6167,-73.65,48.81,87,100,9.22,overcast clouds
146,East London,ZA,-33.0153,27.9116,67.42,84,100,2.89,light rain
147,Yenagoa,NG,4.9247,6.2642,74.86,96,100,1.41,overcast clouds
148,Salalah,OM,17.0151,54.0924,75.29,73,0,3.44,clear sky
149,Burnie,AU,-41.0667,145.9167,58.95,53,99,20.69,overcast clouds
150,Zabid,YE,14.1951,43.3152,81.5,69,0,1.9,clear sky
151,Port Hedland,AU,-20.3167,118.5667,86.05,35,4,12.66,clear sky
152,Thasra,IN,22.8,73.2167,69.89,40,0,4.59,clear sky
153,Beira,MZ,-19.8436,34.8389,74.75,86,36,3.85,scattered clouds
154,Forquilhinha,BR,-28.7475,-49.4722,63.72,93,100,1.34,overcast clouds
155,Rojhan,PK,28.6868,69.9534,72.27,34,0,1.88,clear sky
156,Nalut,LY,30.3333,10.85,65.21,38,0,8.97,clear sky
157,Bubaque,GW,11.2833,-15.8333,82.11,74,98,9.48,light rain
158,Nanortalik,GL,60.1432,-45.2371,36.82,95,100,4.5,light rain
159,Tabou,CI,4.423,-7.3528,76.51,89,96,5.37,light rain
160,Manzhouli,CN,49.6,117.4333,36.37,59,7,8.57,clear sky
161,Lavrentiya,RU,65.5833,-171.0,31.19,92,100,4.61,overcast clouds
162,Kamenka,RU,51.3223,42.7678,42.21,85,100,12.66,light rain
163,Mukhen,RU,48.1,136.1,40.33,53,8,4.97,clear sky
164,Vrutky,SK,49.1133,18.9171,47.25,96,100,4.99,overcast clouds
165,Barrow,US,71.2906,-156.7887,21.22,93,100,19.57,overcast clouds
166,Praia,CV,14.9215,-23.5087,75.74,83,20,10.36,few clouds
167,Belyy Yar,RU,53.6039,91.3903,35.85,74,0,15.66,clear sky
168,Marieville,CA,45.4334,-73.1658,58.01,70,100,1.34,overcast clouds
169,Baisha,CN,26.5222,110.9311,72.59,35,23,3.71,few clouds
170,Neverkino,RU,52.7854,46.7417,38.1,82,100,11.12,light rain
171,Ambilobe,MG,-13.2,49.05,71.96,77,83,2.91,broken clouds
172,Liaoyang,CN,41.2719,123.1731,44.92,40,8,1.7,clear sky
173,Mabaruma,GY,8.2,-59.7833,76.68,92,100,3.06,overcast clouds
174,Quatre Cocos,MU,-20.2078,57.7625,71.1,81,14,9.62,few clouds
175,Nanton,CA,50.3501,-113.7687,30.27,85,54,5.46,broken clouds
176,Dunedin,NZ,-45.8742,170.5036,46.8,78,100,10.0,overcast clouds
177,Port Elizabeth,ZA,-33.918,25.5701,63.1,100,75,10.36,broken clouds
178,Njombe,TZ,-9.3333,34.7667,55.6,92,97,4.68,overcast clouds
179,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,6.91,clear sky
180,Vanimo,PG,-2.6741,141.3028,86.22,63,90,4.85,overcast clouds
181,Frome,GB,51.2283,-2.3221,54.99,96,90,1.01,overcast clouds
182,Coihaique,CL,-45.5752,-72.0662,48.81,81,100,5.75,light rain
183,Atuona,PF,-9.8,-139.0333,77.18,74,3,17.22,clear sky
184,Saint-Augustin,CA,51.226,-58.6502,48.83,63,2,8.48,clear sky
185,Port Augusta,AU,-32.5,137.7667,61.43,79,100,16.75,overcast clouds
186,Gunjur,GM,13.2019,-16.7339,78.87,94,40,0.0,moderate rain
187,Pachino,IT,36.7186,15.0907,69.58,66,0,12.46,clear sky
188,Itaqui,BR,-29.1253,-56.5531,60.48,70,0,10.58,clear sky
189,Kenora,CA,49.8167,-94.4337,54.57,76,20,12.66,few clouds
190,Aktas,KZ,49.7789,72.9608,25.72,69,0,5.5,clear sky
191,Taltal,CL,-25.4,-70.4833,61.77,71,0,5.53,clear sky
192,Airai,TL,-8.9266,125.4092,74.12,52,82,1.48,broken clouds
193,Sangar,RU,63.9242,127.4739,16.12,82,100,21.83,overcast clouds
194,Clyde River,CA,70.4692,-68.5914,23.23,93,100,8.05,overcast clouds
195,Shelburne,CA,44.0787,-80.2041,58.6,62,100,6.35,overcast clouds
196,Muncie,US,40.1934,-85.3864,66.54,58,10,3.0,clear sky
197,Tateyama,JP,34.9833,139.8667,63.1,74,100,18.7,overcast clouds
198,Hamilton,US,39.1834,-84.5333,67.21,57,20,8.05,few clouds
199,Pa Daet,TH,19.5049,99.9924,78.01,88,98,1.28,overcast clouds
200,Ponta Do Sol,PT,32.6667,-17.1,70.0,67,100,5.68,overcast clouds
201,Manggar,ID,-2.8833,108.2667,80.11,81,100,2.04,moderate rain
202,Tarimbaro,MX,19.7833,-101.1333,67.98,73,75,4.61,broken clouds
203,Catabola,AO,-12.15,17.2833,62.94,86,99,1.68,light rain
204,Sobolevo,RU,54.4299,31.8996,44.51,94,100,8.68,overcast clouds
205,Namibe,AO,-15.1961,12.1522,68.49,85,57,8.79,broken clouds
206,Half Moon Bay,US,37.4636,-122.4286,68.02,54,0,20.71,clear sky
207,Palasa,IN,18.7667,84.4167,72.64,80,48,6.38,scattered clouds
208,Wajima,JP,37.4,136.9,59.68,54,40,9.22,scattered clouds
209,Bengkulu,ID,-3.8004,102.2655,78.44,84,98,1.74,heavy intensity rain
210,Klyuchevskiy,RU,53.5317,119.4519,28.38,64,100,3.91,overcast clouds
211,Nemuro,JP,43.3236,145.575,47.73,80,100,12.8,light rain
212,Malayal,PH,7.208,121.942,84.0,78,100,3.94,overcast clouds
213,Anzio,IT,41.4853,12.6179,67.46,86,6,9.46,clear sky
214,Aklavik,CA,68.2191,-135.0107,9.1,98,90,1.25,overcast clouds
215,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.44,86,100,7.18,overcast clouds
216,Marsh Harbour,BS,26.5412,-77.0636,78.87,64,0,13.44,clear sky
217,Chapais,CA,49.7834,-74.8492,47.98,91,20,4.79,few clouds
218,Valdivia,CL,-39.8142,-73.2459,51.89,95,100,1.88,overcast clouds
219,Orissaare,EE,58.5592,23.0826,44.02,78,65,4.07,broken clouds
220,Asau,RO,46.4333,26.4,38.32,92,22,5.77,few clouds
221,Satuk,TR,41.2263,32.3836,49.44,75,2,2.19,clear sky
222,Santiago Del Estero,AR,-27.7951,-64.2615,75.9,48,21,8.28,few clouds
223,Cayenne,GF,4.9333,-52.3333,80.64,83,0,2.3,clear sky
224,Omsukchan,RU,62.5333,155.8,2.82,93,64,1.14,broken clouds
225,Eslov,SE,55.8393,13.3039,54.63,94,100,9.46,overcast clouds
226,Poum,NC,-20.2333,164.0167,77.41,82,37,25.95,scattered clouds
227,Nome,US,64.5011,-165.4064,37.47,82,100,23.02,light rain
228,Alice Springs,AU,-23.7,133.8833,74.75,53,0,8.05,clear sky
229,Ahipara,NZ,-35.1667,173.1667,64.04,59,15,9.1,few clouds
230,Henties Bay,NA,-22.116,14.2845,56.66,93,51,2.33,broken clouds
231,Hofn,IS,64.2539,-15.2082,40.35,82,100,9.66,overcast clouds
232,Marsa Matruh,EG,31.3525,27.2453,61.0,77,20,6.91,few clouds
233,Auki,SB,-8.7676,160.7034,82.56,78,43,5.01,scattered clouds
234,Ilulissat,GL,69.2167,-51.1,30.22,93,75,0.0,broken clouds
235,Nabire,ID,-3.3667,135.4833,86.49,64,100,4.72,overcast clouds
236,Provideniya,RU,64.3833,-173.3,28.51,80,75,4.47,broken clouds
237,Araouane,ML,18.9048,-3.5265,81.5,14,100,11.43,overcast clouds
238,Road Town,VG,18.4167,-64.6167,80.69,78,20,3.44,few clouds
239,Sao Filipe,CV,14.8961,-24.4956,78.94,72,0,8.23,clear sky
240,Petropavl,KZ,54.8753,69.1628,25.84,84,24,12.41,few clouds
241,Crawfordsville,US,40.0411,-86.8745,69.71,50,46,16.08,scattered clouds
242,Vardo,NO,70.3705,31.1107,37.38,75,40,11.5,scattered clouds
243,Oussouye,SN,12.485,-16.5469,77.18,84,15,4.76,light rain
244,Churapcha,RU,62.0025,132.4325,20.7,94,100,10.83,overcast clouds
245,Fortuna,US,40.5982,-124.1573,55.74,76,0,13.8,clear sky
246,Kuching,MY,1.55,110.3333,79.02,94,20,5.99,few clouds
247,Touros,BR,-5.1989,-35.4608,77.83,82,11,11.92,few clouds
248,Dingle,PH,10.9995,122.6711,83.68,76,100,6.82,overcast clouds
249,Marzuq,YE,14.4,46.4667,67.01,71,5,1.16,clear sky
250,Ust-Omchug,RU,61.15,149.6333,4.78,88,90,3.02,overcast clouds
251,Korla,CN,41.7597,86.1469,54.46,35,100,6.69,overcast clouds
252,Inirida,CO,3.8653,-67.9239,73.85,98,100,2.35,very heavy rain
253,Seymchan,RU,62.8833,152.4333,1.27,93,95,3.74,overcast clouds
254,Benghazi,LY,32.1167,20.0667,70.86,70,5,8.12,clear sky
255,Raga,SS,8.4596,25.678,68.31,73,22,2.01,few clouds
256,Colac,AU,-38.3333,143.5833,54.18,97,100,16.44,light rain
257,Borogontsy,RU,62.6683,131.1683,21.04,92,100,10.58,overcast clouds
258,Tskneti,GE,41.6939,44.6937,40.5,64,100,4.14,overcast clouds
259,Deputatskiy,RU,69.3,139.9,6.66,90,100,3.02,overcast clouds
260,Castelo Do Piaui,BR,-5.3222,-41.5525,78.33,61,18,3.76,few clouds
261,Zeerust,ZA,-25.5369,26.0751,61.68,79,72,4.0,broken clouds
262,Taunggyi,MM,20.7833,97.0333,65.75,78,39,4.21,scattered clouds
263,General Roca,AR,-39.0333,-67.5833,69.62,18,0,13.69,clear sky
